원문,번역문
너 대체 어디 있다가 온 거야?,Where have you ever been?
나는 불공평한 것을 절대 못 참아요.,I can't stand unfairness.
각자가 원하는 직장을 가지기를 바랍니다.,I hope everyone has a job that everyone wants to have.
인터뷰 성공하고 인턴 되면 나중에 또 알려줄게!,I will let you know later if I successfully finish the interview and get the internship.
"식사 최소 2시간 후, 운동 전이나 취침 전에 5정을 충분한 물과 함께 드세요.",5 tablets before exercise and/or at bedtime with plenty of water at least two hours after the last meal.
그냥 가버리면 나는 어떡하라고요.,What should I do if you leave like that?
우리는 바구니가 필요합니다.,We need a basket.
2016/4/1~2017/3/31시간의 로열티 총액은 USD 2000 이 맞습니까?,Are the total royalties for the period 2014/4/1 ~ 2017/3/31 equal to USD2000?
저는 다양한 나라에서 온 친구들과 좀 더 넓은 사고방식을 공유하고 싶습니다.,I'd like to exchange diverse thoughts with people from different countries.
그건 그냥 내가 지어낸 말이고 아무 의미도 없어.,"I just made it up at the spot, and it doesn’t mean anything."
저 영수증을 잃어버린 것 같아요.,I'm afraid I lost the receipt.
그래서 우리게스트하우스는 10% 할인을 제안합니다.,So our guest house would like to offer a 10 percent discount.
그 길들은 서로 평행하게 나 있어요.,The streets run parallel to each other.
난 너를 만난 후부터 다른 여자를 만나지 않았어.,"Since we began going out, I have not been with another woman."
강의를 시작하기 전 교수님이 강의를 듣고 영어로 감상문을 쓰라고 했습니다.,"Before the lecture started, the professor asked us to write a report in English after the lecture."
말씀드린 품질 부분만 주의해주시고 견적서를 보내주세요.,Please pay special attention to the quality part and send me an estimate.
나는 이 곡이 실제로 나를 위한 노래이길 바라.,I hope that this song is for me in real.
설비 대체안 평가와 의사결정이 필요합니다.,The evaluation of the facility's alternative plan and decision making are required.
저는 제 친구에게 피해주는 행동을 하지 않겠습니다.,I won't do any act that will hurt my friend.
우리가 그분을 사랑한다고 믿고 따른다고 하지만.,Although we believe that we love him and listen to him.
나는 3시간 동안 숙제를 하는 중이에요.,I'm doing my homework for 3 hours.
오징어 튀김에 새콤한 소스를 곁들인 음식입니다.,It is food that adds acid sauce to deep-fried squid.
가게에 가서 프랑스산 포도주 좀 사 올래요?,Will you go to the store to buy a bottle of French wine?
당신의 순수함을 잃지 마세요.,Do not lose your pureness.
배송비 인상으로 당신의 사이트 내 판매 가격을 약간 올릴 필요가 있습니다.,"Due to increase in delivery fee, it is necessary to raise product price in your site by a bit."
재료를 2.5cm 정사각형으로 자르고 각을 도려냅니다.,Cut ingredient into 2.5cm squares and scrape the angle out.
SCR 파일 말고 이미지 파일로 부탁드립니다.,Could you send it to be by an image file instead of an SCR file?
누구의 도움을 받아야 할지 몰라 당신에게 메일을 씁니다.,I am writing this email to you because I don't know to whom I should ask for help.
값을 깎아 달라고 흥정을 했었어야죠.,You should have paltered.
딸이 예쁘게 보이도록 도와주고 싶은 욕망 그 자체는 순수한 것이지만 만약 당신의 만족을 위한 것이라면 그 순수함은 퇴색됩니다.,The desire to help daughter look beautiful itself pure but if it is for your satisfaction the purity is impaired.
"내가 집에 오면, 보모는 안 계셨습니다.","When I came back home, nanny wasn't there."
"양손 무기 장착 시, 최대 공격력이 향상합니다.","When installing two arms weapon, its increase the maximum damage."
내가 여행 하는 이유는 자유를 느낄 수 있기 때문입니다.,The reason why I am traveling is because I can feel free.
"사실, 나는 지금 겨울 옷을 입고 있어요.","Actually, I'm wearing winter clothes now."
저는 미래에 대해서 많은 생각을 합니다.,I think about the future a lot.
이번 저의 요청은 없던 일로 합시다.,Let's disregard my request this time.
"너무 어린 아이는 여전히 정서적으로 불안정하기 때문에, 탁아소보다 부모가 더 필요합니다.","Because a very young child is still emotionally unstable, parents are more necessary than a day nursery."
너는 바쁘게 잘 지내고 있지?,"You are living a very busy life, right?"
나는 당신의 회사와 수출 거래하기를 희망합니다.,I would like to do an export business with your company.
이벤트에 참여해주신 모든 분께 감사드립니다.,Thank you for all of you for joining the event.
나는 당신과 함께한 시간 즐거웠습니다.,I enjoyed the time I had with you.
내가 만약 음료를 추가로 주문한다면요.,If I add an extra beverage order.
수리 불가 시 업무 보고 후 폐기처리 해요.,Dispose of it after reporting when it can't be fixed.
"근본적으로 너는 자리를 가리지 않으며 성실하고, 주변 사람들에게 마음 씀씀이가 좋아.",You seem originally earnest regardless of the situation and treat your surrounding people in a good way.
나는 당신이 좋아하는 킹크랩과 랍스터를 먹겠어요.,I would eat king crabs and lobster that you like.
우리 팀에서 두 시스템 항목을 일치시키기 위해 추가로 진행해야 하는 절차가 있으면 알려주시기 바랍니다.,Please let us know if there is an additional procedure which our team must do in order to make items the same in two systems.
그녀는 바이올린 켜는 것을 중단했어요.,She stopped playing the violin.
그는 노래 부르기가 취미인 소녀를 만났어요.,He met a girl whose hobby is singing a song.
자세한 내용은 데이비드가 통보할 겁니다.,David will tell you the details.
너의 스카이프 아이디가 바뀌지 않았다면 이걸 확인하면 전화를 걸어줘.,"If you haven't changed your skype ID, please call me once you check this message."
그분들에게 제가 도움 될게 있을까 싶어서 일단 연락 달라고 해본 거니 크게 오해하지 마시기 바랍니다.,I asked them for a call in case I could be a help so I hope you don't misunderstand my intentions.
우리 연구원이 모든 과정에 참여하는 것이에요.,Our researchers participating in every process.
"사드 배치에 따른 중국 관광객이 벌써 감소 추세인데, 양국의 관계가 호전되길 바랍니다.",Chinese tourists are already in decline with THAAD deployment; I wish the relationship between the two countries improves.
나는 당신이 올해 잘한 것을 압니다.,I know you did well this year.
일시적인 정전이 일어나 사람들이 피해를 보았습니다.,People suffered from damage as temporary blackout occurred.
웨이터가 테이블에서 직접 잘라 줍니다.,The waiter personally cuts it on the table.
당신은 내년에는 텍사스로 갈 계획인가요?,Do you have a plan to go to Texas next year?
난 이제 일하러 가기 위하여 공항에 있습니다.,I am at the airport to go to work.
저는 그 도서관을 지나가다 본 적 있습니다.,I have seen that library as I was passing by.
나 그게 너무 궁금해서 잠들 수가 없어.,I can't sleep because I'm very curious about that.
"그 물질은 또한 세제, 부식 방지, 그리고 응집제 특성과 생물 부착을 막는 역할도 가져요.","This substance also as detergent, anti-corrosive and flocculant properties and also prevents biotic things from clinging on."
같이 지내다 보면 서로 의견이 맞지 않는 부분도 많이 생기고 사람을 대하는 것도 많이 조심스러워질 것이에요.,"As people spend time together, they will find points that they do not agree on, and will eventually become careful in interacting with them."
저는 이 책을 문장의 감수성 있고 의미파악능력이 조금 떨어지는 사람들에게 추천하고 싶습니다.,I would like to recommend this book to those who are sentimental and lack the ability to grasp the meaning of a writing.
우리는 그 영화 시리즈를 다 봤어요.,We saw all the movie series.
이곳에서는 외국인 여행자에게 관광지 할인 카드를 발급해줍니다.,They issue tourist attraction discount cards for foreign tourists.
인상깊은일이라기보다는 충격적인일이 더 맞을지도 모르겠다.,I think this even was more a shocker than an impressive one.
난 너에게 한국어를 친절하게 알려 줄 수 있어.,I can teach you Korean kindly.
오늘도 어제처럼 기분이 나빠요.,I'm in a bad mood today just like yesterday.
"바로 어제인 5월 31일, 캐럿 글로벌에서 1년에 한 번 주최하는 강사 콘퍼런스가 열렸습니다.","On 5/31, yesterday, the annual instructor conference was held at Carrotglobal."
우리는 예술적인 방향으로 계획해오고 있었습니다.,We have been planning towards the artistic side.
유럽과 비디오 해보면 아시아 축구는 아직 많이 부족합니다.,"Compared to European soccer, Asian soccer is still a league below."
네가 내 페이스북 타임라인을 보면 중국 출장을 다녀온 나의 기록들이 있어.,"If you look at my timeline on Facebook, there are my records of a business trip to China."
나의 인형으로 행복해졌다니 나도 너무 기쁘다.,I am really glad that you have become happy with my doll.
"망고는 엽산, 칼슘, 인, 아연, 칼륨, 비타민 c와 b복합비타민이 풍부합니다.","They're rich in folate, calcium, phosphorus, zinc, potassium, vitamin C and B."
이게 마지막 기회라고 생각하고 최선을 다하자.,Let's think of this as the last chance and try our best.
"단, 프로젝트 및 수량에 따라 가격 예외가 가능합니다.","However, there can be price exceptions according to the project and quantity."
독도는 명백히 한국의 땅이야.,Dokdo is clearly a part of Korean territory.
잎을 갉아 먹는 애벌레는 담배를 의미합니다.,The larva that nibbles leaf means cigarette.
가족이라는 단어는 특별한 의미를 가지고 있습니다.,The word family has a special meaning.
이번 주 월요일은 제가 근무하는 날이에요.,This Monday is my working day.
저는 두 시에 떠나면 되나요?,Do I leave at 2 o'clock?
인천 행 비행기 짐을 여기서 부치면 되나요?,Do I ship my luggage here for the flight to Incheon?
노트북은 컴퓨터와 달리 여러 곳에서 사용할 수 있어요.,"Laptops, unlike computers, can be used in various different places."
경쟁기업은 자신의 수요자 이탈을 막기 위해 네트워크 외부성이 없는 때를 대비해 더 낮은 가격으로 대응해야만 해요.,The competitor has to respond to this with a lower price in case there is no network externality in order to prevent its consumers from leaving.
8월과 9월에 생산한 제품의 시험 데이터를 공유해줄 수 있어?,Can you share the Test Data of the products manufactured in August and July?
둘러보며 도장 찍는 재미가 좋거든요.,It is fun to collect stamps.
난 이미 3일 전에 주문했지.,I already ordered it 3 days ago.
그러나 필요하다면 영문으로 번역을 하고 공증을 받아서 다시 첨부할 의향이 있습니다.,"However, I am willing to translate into English and send it after notarization if need be."
그래서 좀 피곤하고 신경이 쓰여서 좀 마음이 무겁다.,"I'm a bit tired and concerned, which leaves me feeling a bit down."
A 제품과 세트로 포장될 정션박스는 이미 홀 사이즈를 수정된 버전으로 만들어서 입고되었습니다.,A junction box that will be packaged as a set with A product is already made and stocked after changing its hole size.
저는 그의 정강이를 찼습니다.,I kicked him in the shin.
"그럼 당장 운동을 시작해야겠네, 그런데 나는 운동을 할 줄 모르는데 어떻게 하죠?","Then maybe I should start exercising right now, but I don’t know how, what should I do?"
수하물 검사를 하는 곳이 어디죠?,Where can I check baggage?
저는 미니바의 물건이 무료라고 생각했습니다.,I thought mini bar's stuff was free.
공격적이게 이야기한 게 절대 아닌데 만약 그렇게 들었다면 모두에게 사과할게요.,"And I never talk aggressively but you guys heard like that, I apologize."
이번 주 일요일에 꽃구경 갈 거예요.,I'm going flower-viewing this Sunday.
"사실, 나는 당신 같은 사람을 싫어합니다.","Actually, I don't like people like you."
올해 언제 눈이 처음으로 와요?,When do you have the first snow of the year?
"네, 저도 참 즐거웠습니다.","Yes, I enjoyed it, too."
이 프로그램은 개인이 쓰기엔 비쌉니다.,This program is expensive for individuals.
그렇지만 당신이 나를 속인다는 뜻이 아니야.,But it does not mean that you are deceiving me.
그가 이번 주말에 픽업한다고 했어요.,He said he will pick me up by this weekend.
먼저 한국 친구에게 도움을 청하세요.,"First, ask for help from your Korean friend."
오늘은 집에서 영어 회화책을 가지고 오기는 했어요.,So I brought the English conversation book from home today.
옥련 국제 사격장에도 가까운 지하철역이 있나요?,Is there a subway station nearby Ongnyeon International Shooting Range?
문틈에 설치하는 철봉을 찾고 있는데요.,I'm looking for a horizontal bar that can be installed at a chink in the door.
"만일 정상적으로 호텔에 투숙하셨다면, 반드시 저희에게 알려주시기 바랍니다.","If you checked in to the hotel normally, Please inform us."
그러나 이 과정이 깨끗한 것만은 아니에요.,But this process is not always clean.
이런 사진을 포착할 위치에 있었다는 게 그냥 상상이 안 가!,I simply cannot imagine that you were in a position to capture this!
"당신은 무엇을 하든지 편하게 할 수 있고, 모르는 것이 있어도 금방 알 수 있습니다.","You can do them easily whatever you do, and you can figure it out right away even if you have something you don't know."
"시간이 별로 없으니까, 제발 제가 주문한 것 좀 서둘러 해 주세요.","I don't have too much time, please rush my order."
우리는 공정한 결과를 원합니다.,We want fair results.
나만 알고 있으니 문제는 되지 않아.,It won't be a matter because only I know it.
미야노우라 항구로 가려면 어떻게 가야 하나요?,How can I get to Miyanoura port?
일단은 지금처럼 오더를 하면 어느 PO부터 변경이 가능한지를 너에게 통보해주도록 하겠다.,"First, if you put order just like now, we will inform you about from which PO can be changed."
우리는 저녁으로 아귀찜을 먹었어요.,We had agwijjim for dinner.
"선생님, 나는 계좌 이체를 하고 싶습니다.","Sir, I want an account transfer."
이번 일요일은 제주에서 교회에 갈 것입니다.,I will go to church in Jeju this Sunday.
그 정도면 한국에서 초여름 날씨이에요.,That is like the weather of early summer in Korea.
이 제품이 당신 차에 맞는지 사진을 보고 마지막으로 확인하시기 바랍니다.,Please check for the last time if this product fits your car by looking at the photo.
비디오 게임을 개발해 게임 대회에 참가하려는 6명의 청춘 스토리!,The story of six young people who want to join in the game by developing a video game!
그래서 소비자 가격을 24달러로 인상했습니다.,So we raised the consumer price to 24 dollars.
그녀는 잡지를 읽고 있습니다.,She is reading a magazine.
나는 당신의 댓글을 봐서 기쁘네요.,I am very happy to see your comment.
규모가 큰 프랑스 본토 스타일의 파이와 타르트 전문점이야.,This is a large scale French homeland style pie and tart bakery.
또 나리타공항에서 숙소는 지하철로 이동 가능한가요?,Is it possible to take a subway from the accommodation to Narita Airport?
비용은 걱정하지 말고 당신이 가까운 병원에 가면 좋겠어.,I hope you don't worry about the costs and just go to a nearby hospital.
이런 수정 작업 중 부작용이 발생할 가능성이 있습니다.,There can be side effects of this kind of modification process.
그래서 우리 조 아이들은 모두 최선을 다해서 경기에 참여했습니다.,That is why all my team members did our best participating in the game.
세부적인 지출 명세가 있습니다.,There are details of expenditures.
너로 인해 진짜 이별이란 걸 배워.,I learned what real break up is because of you.
"기본적으로 전체 강좌는 최소 13주 차 분량으로 구성하며, 각 주차는 1~3시간 미만의 학습량을 포함해야 합니다.","The whole course consists of at least 13 weeks, and each week includes less than 1-3 hours of learning."
다름을 인정하는 디자이너는 탁월한 디자이너야.,A designer who accepts differences is a splendid one.
나는 부모님을 기쁘게 해 드리기 위해 열심히 공부했어요.,I studied hard to satisfy my parents.
일요일은 가족과 함께 교회에 갔어요.,I went to the church with my family on Sunday.
이 제품은 안전한 버스를 목표로 합니다.,This product aims to make safe buses.
나는 보통 아침 8시에 집을 나섭니다.,I usually leave home at 8 am.
애석하게도 올해에는 유럽 쪽에 방문할 계획이 잡혀있지 않는군요.,"Unfortunately, this year there are no plans to visit Europe."
"여러분은 고추장 양념에 비벼 먹는 칡 국수, 칡 부침, 촌 두부 등을 맛볼 수 있어요.","You can enjoy kudzu noodle, kudzu pancake, tofu dishes, and another great cuisine."
내 옆에 누워 있고 나의 응석을 해 줘.,Lie beside me and cuddle me.
그는 요즘 영화감독도 하고 있습니다.,"Recently, he is also working as a film director."
난 이미 그들의 이름을 다 정해놨어.,I came up with their names already.
그 과정에서 인터넷을 통해 이것을 알게 되었습니다.,I was able to find this through the internet while searching.
모든 외곽선은 재송선을 기준으로 그려졌습니다.,Every outline is drawn on the standard of the re-transmission line.
부모님은 내가 매일 아침 운동 하기를 바라셔.,My parents want me to exercise every morning.
거기서 재미있는 일이라도 일어났어?,Did something fun happen there?
오늘은 너무 긴 하루였어요.,It was a long day today.
그 배는 아직 출항하지 못하고 있어요.,The ship cannot sail yet.
그것은 우리가 변환된 파일에 맞춰서 장비가 작동할지에 대해 100% 보증할 수 없기 때문입니다.,This is because we cannot 100% guarantee that the device will operate with the converted file.
우리 아버지가 테니스를 너무 좋아하세요.,My dad really likes playing tennis.
우리는 교육에 있어서 남녀 차별을 하면 안 된다고 생각합니다.,We think that there should not be discrimination by sex in education.
네가 초콜릿 안에 들어 있는 탄산 캔디는 살살 녹여 먹으면 입안에서 톡톡 튀어 먹는 재미를 느낄 수 있습니다.,The carbonated candy you have in the chocolate can be enjoyed splashing in your mouth when you melt it gently.
"또한, 바다로 둘러싸인 인천은 어디에서나 바다를 볼 수 있습니다.","Also in Incheon, surrounded by the ocean, you can see the ocean everywhere."
우리는 찬양하고 예배하고 재미있는 게임도 하면서 보냈어요.,"We spent our time praying, worshipping and playing games."
나는 샤워 하려 했지만 농구하고 하는 게 나은 것 같아 하지 않으려 해요.,I was going to take a shower but I thought that taking it after playing basketball would be better so I won't do it now.
아이들이 좋아하는 종목의 운동을 하므로 아이들의 즐거운 모습을 보며 활력소를 느낍니다.,Seeing the children being happy while playing their favorite sports makes me energized.
너를 위한 장학금을 어떤 방법으로 송금해 주면 좋을까?,How should I send the scholarship to you?
이번 연도의 저의 목표는 식스팩을 만드는 것입니다.,My resolution for this year is to get a six-pack.
이번 주 금요일에 회사에서 영어 인터뷰 테스트가 있을 예정입니다.,There will be an English interview test at my company this Friday.
"요즘, 이웃간의 갈등이 늘어나고 있어요.","Recently, conflicts are arising between neighbors."
"소로는 물이 얼어붙은 곳으로 가서, 작은 사각형 모양으로 잘라서 얼어붙은 곳을 엽니다.","Thoreau goes out to the frozen ice, and chops open a small square."
이 선택을 한 이유중에 네가 없진 않아.,But you are among the reasons why I made that choice.
네가 나중에 스스로 컨트롤이 안될 때 항상 너의 옆에서 손잡아줄게.,I'll always hold your hand next to you when you cant control yourself.
이 책은 굉장히 잘 팔리고 있습니다.,This book is going strong.
또한 동성 간 싸움 횟수가 늘어나게 됩니다.,"Also, it increases the number of same-sex fights."
이제 좀 괜찮아진 것 같아요?,Are you feeling better?
결국 나의 가장 좋아하는 노래가 되었어.,It eventually became my favorite song.
"교환 및 환불, 모두 처리가 안 돼요.",Neither refund nor exchange is available.
내가 다닌 초등학교 옆에는 장애인 특수학교가 있었다.,There was a special school for the disabled next to the elementary school which I went to.
가능한 financial aid를 찾아볼게요!,I will look for possible financial aid!
부대에서 크리스마스트리를 만드나요?,Do you make the Christmas tree in your military unit?
연락이 안 와서 그렇게 생각을 했어요.,I thought like that because you did not call me.
"나는 동의하지 안는데, 왜냐하면 누군가 핸드폰을 가지고 있는 것 만으로도 나에게 방해되어서 입니다.","I don't agree with it, and that is because even someone having their cell phone is a bother for me."
또한 9/29~10/09까지 연휴이므로 10/3일 서류와 10/9 서류는 A에게도 메일 보내주세요.,Please send the document of the 3th and 9th of October additionally to A by email since it's a holiday from September 29th to October 9th.
옷핀이나 작은 S자 고리를 끼우고 입어야 합니다.,You must dress it after inserting a clothing pin or a small S-shaped hook.
우리 서로 영원히 사랑합시다.,Let's love each other forever.
목사님 말씀을 들어보고 싶기도 하고요.,I also want to hear what the priest says.
이번 한 해에도 행복하길 바라고 좋은 일 가득하길 바라요.,I hope this year is the year that turns to become the one full of happiness.
나는 내 생일날 새벽 두 시까지 친구들과 술을 마셨어.,I had drinks till 2 a.m. on my birthday with my friends.
공연 시작 시각이 몇 시에요?,What's the beginning time of the concert?
"근데 우리는 만난 지도 얼마 안 됐고, 내가 많이 부족해.",But we barely know each other and I'm not good enough for you.
오늘은 런던도 날씨가 좋네요.,Today is good weather in London as well.
"영국인, 중국인, 대만계, 현지인, 한국인 등 다양한 국적의 사람들이 온다고 합니다.","Many people are coming from various nationalities such as English, Chinese, Taiwanese, the locals, and Koreans."
나는 하루 반나절 동안 밥 먹고 잠만 자.,I spend half of the day eating and sleeping.
당신이 통제 속에 있는 것이 아니라 당신의 중독이 그런 것입니다.,"You're not in control, your addiction is."
내 가방이 인천 행 대한 항공 비행기로 자동으로 옮겨지나요?,Is my luggage moved automatically to the Korean airline flight for Incheon?
영어의 장점은 세계적으로 널리 쓰이기 때문에 좋다.,Advantage of English is that it is used around the whole world.
우선 메일 주셔서 감사해요.,"First of all, thank you for your email."
더욱더 기억에 남는 여행을 선물해 드리고 싶습니다.,I want to give a memorable trip as a gift.
인천에 한국인들이 많이 오는 게이바가 있다면 알려주세요.,Tell me if there is a gay-bar in Incheon where many Koreans visit.
사범대 학생들을 대상으로 한 만큼 역사교육에 관한 질의응답이 주를 이뤘어요.,Most questions were about history education as the lecture was subject to students of education college.
나는 대부분의 시간을 노래하면서 보내요.,I spend most of my time singing.
우리는 한국에서 품질 좋은 것을 사요.,We purchase high quality product in Korea.
온통 노란색인 고흐의 그림도 있어요.,There's also an entirely yellow painting of Gogh.
우리는 그들을 모두 물리쳤어요.,We defeated them all.
나는 일이 있어서 당신과 길게 통화를 못 합니다.,I cannot talk on the phone long with you because I have work to do.
그게 내가 일본으로 가려고 하는 이유에요.,That's the reason why I'm trying to go to Japan.
"바이오리듬이 깨지면 사람들은 피곤함을 느끼기 때문에, 영양분을 골고루 섭취하면 몸에 좋습니다.","When the biorhythm breaks, it makes people tried so it is good for the body to get various nutrients."
당신이 걱정하면 내 마음이 너무 아픕니다.,It breaks my heart when you get worried.
내일 5시에 친구들과 함께 골프 하러 갑니다.,I'm going to play golf with my friends at 5 pm tomorrow.
선적계획이 일부 조정 중에 있어서 아직 3월 계획 업데이트를 다 하지 못했어요.,We haven't updated the shipping schedule for March yet due to the partial change in the shipping plan.
무엇이 당신의 숙면에 도움을 줄 수 있을까요?,What is helpful to your deep sleep?
나에게 돈을 지급 한다면 그 표를 너에게 주겠어.,"If you pay some money to me, I'll give you the ticket."
나는 기분 전환을 위해 친구를 교외로 데리고 나갔어.,I went out to the suburb with my friend for changing my feeling.
불량이 발생한 면에 코팅 작업을 진행했어요.,We applied a coating to the defective side.
그리고 나는 영어를 못 한다는 걸 알려줘야겠네요.,And I should tell you that I'm not good at speaking English.
그래서 나는 한국에서의 그 친구들과도 웃으며 그때 이야기를 하고 캐나다 친구들하고도 앞으로 웃으면 행복한 추억을 많이 쌓고 싶다.,"So I want to laugh with my friends in Korea and talk about it then and if I laugh with my Canadian friends, I want to build a lot of happy memories."
언제쯤 샘플 발송이 가능할 것 같습니까?,When do you think the sample mailing is possible?
이집트는 아프리카 북동부에 있습니다.,Egypt is located in the northeast part of Africa.
"알려주신 아래 아이템은 ""99""로 되어있어 SAP에서 오더 진행할 수 없습니다.","SAP can't proceed the order because the item below is shown as ""99""."
김치는 한국을 대표하는 음식이기 때문이에요.,Because kimchi is one of the representative foods of Korea.
우리가 무대 뒤에서 타이밍 장치를 찾았습니다.,We found a timing device behind the stage.
어쨌거나 나는 그녀가 행복했으면 좋겠습니다.,Anyways I wish that she would be happy.
사업상 설득은 힘들지 않나요?,Isn't persuasion for the business difficult?
대학을 졸업하고 나서도 한국과 인도네시아를 오가며 일을 하고싶습니다.,I want to keep working in and out of Korea and Indonesia after graduating college.
우리 할아버지가 이 제품을 그리워하세요.,My grandfather misses this product.
저는 밤을 새워서 피곤하지만 참아보려고요.,"I'm tired from staying up all night, but I'm going to put up with it."
저는 어떤 문제점에 대해서 솔직하게 얘기해요.,I talk about the matter frankly.
경쟁력 있는 가격을 드리기 위해서는 샘플이나 패키지를 미리 받을 수 있어야 합니다.,"To give a competitive price, we need to receive a sample or the package in advance."
날씨가 안 좋아서 나는 오늘 수업을 안 하길 원해요.,I wish there was no class today because the weather is bad.
"나는 아직 준비해야 할 게 많지만, 최선을 다해 승무원이 될 것이에요. 당.","I still have a lot to prepare, but I will try my best to become a flight attendant."
나의 장래 희망은 쥬얼리 디자이너입니다.,I want to be a jewellery designer.
비바람이 움직이기 시작했어요.,Rainstorm starts to move.
그 당시 ‘메이드 인 이탈리아'라는 브랜드에 대한 이미지는 어땠을지 말씀해주실 수 있을까요?,Could you tell me what kind of image the brand 'Made in Italy' had at then?
그래서 근육이 자유로워져서 일상생활에 편리함을 줍니다.,"So, the muscles are free and bring convenience to everyday life."
벚꽃엔딩 이외에도 굉장히 듣기 좋은 노래들이 많습니다.,There are a lot of other great songs to listen to apart from Cherry Blossom's ending.
너의 보험 회사에 작성하라고 지시해.,Tell your insurance company to fill it up.
이메일에는 우리 집의 항공사진이 있었다.,There was an aerial photo of my house in the email.
또한 캐러멜 크림으로 음식점 메뉴판에 나와 있기도 해요.,"Also, it appears at a restaurant menu as caramel cream."
"이곳은 매일 눈이 오는데, 네가 사는 곳은 어때?","It snows every day in here, and what about the place you are living?"
"응, 너도 남자친구와 함께 재밌게 놀아.","Yes, you have fun with your boyfriend, too."
"다른 방법으로 우리는 1롤에 4,000m를 감아 30롤을 만들 수 있습니다.","For an alternative, we can make 30 rolls, 4,000mm for each."
그들의 사랑은 아직도 그곳에 남아 있습니다.,Their love is still there.
우리의 프로젝트와 당신의 게임 프로젝트와는 고객층이 비슷할 거 같아요. 서로에게.,Our project and your game project are similar to your customer base.
만약에 동일하다면 별도의 미팅은 필요 없을 것 같아요.,"If so, it was unnecessary to hold an additional meeting."
몇 번 얘기해 보시면 잘 웃고 활동적인 것을 알게 될 것입니다.,"Please take off your shoes and if you need any help, call me."
당신은 지금 바로 통과 할 수 있습니까?,Can you pass it right now?
부엌은 일요일에 문 닫습니다.,The kitchen is closed on Sunday.
우리는 얼마 전 귀사의 담당자로부터 메일을 받았습니다.,We recently received a mail from a person in charge of your company.
저는 취직 준비 중에 있습니다.,I'm preparing for getting a job.
나는 지금까지 단 한 번도 롤모델이었던 적 없어.,I was never a role model.
방수천 같은 것 용접을 좀 하려고 하는데요.,I'm trying to weld a waterproof fabric.
벌칙으로 벌주를 총 1L는 마신 것 같아.,I think I drunk 1L of alcohol as a punishment.
"스킨 사용 후, 1, 2회 펌프질하여 적은 양을 취합니다.","After using the skin toner, pump this out once or twice."
"배가 그리 고프지 않으니까, 다른 것을 먹을까 해요.","I want something else, as I am not so hungry."
너는 왜 아직 안 자고 있어?,Why aren't you sleeping yet?
저는 몸매 유지를 위해 노력하고 있습니다.,I'm trying to keep in shape.
"도착한 곳에는 자신의 발명품인 마이크로 봇이 대량 생산되고 있었고, 가면을 쓴 자가 둘을 해치려고 듭니다.","When they arrived ath the place, his micro-bots were massively produced and a guy with a mask tries to hurt them."
온실이 위험하니 난 수리를 안 할 수도 없었다.,The greenhouse is dangerous so I had to repair.
아시다시피 이것은 합성섬유예요.,This is synthetic fiber as you know.
이제 샌드위치를 준비하는 법을 알려드리겠습니다.,Now I will tell you how to prepare a sandwich.
그는 살인에 대해 실질적으로 자백했어요.,He practically confessed to the murder.
"대상지 국가 문화분석, 적합한 교육 프로그램 개발, 핵심인력, 보조 인력에 대한 교육 실행.","Analysis on targeted nation cultures, development of suitable education programs, implementation of education for assistant staff."
나노기술이 주목받는 이유 중 하나는 바이오기술과 결합하여 의약분야의 혁신적인 발전을 이룰 수 있기 때문입니다.,One reason for attention to nanotechnology is that it could make ground-breaking progress in the medical industry by merging with the biotechnology.
온라인 다이닝은 일반 사람이 자신의 컴퓨터의 웹캠을 가지고 개인방송을 하는 것이에요.,Online dining means an ordinary person broadcasting their own content with his own webcam on the computer.
아래 Origin 금액은 왜 기재되어 있는 거야?,And why is original amount written below?
그 남자는 결국 저를 버렸어요.,He eventually dumped me.
나는 당신이 오늘은 좀 쉬길 바라요.,I hope you have some rest today.
"난 네가 상처받지 않았으면 좋겠어, 네가 힘내길 바라.","I don't want you to get hurt, I want you to cheer up."
너는 어느 터미널을 이용해도 상관없어.,It doesn't matter what bus terminal you use.
이것은 분실이 아니라 반환하지 않은 겁니다.,"This means that the product hasn't been returned, not that we lost it."
내 주변의 디바이스 측정지수입니다.,It is the device measurement index around me.
사람의 능력은 유전적 요소가 크게 관련되어 있습니다.,Heredity is largely involved in a person's abilities.
"그들이 ICOF의 채권자들에게 돈을 지불하고 나면, 그들은 상당한 제조 능력을 갖추게 될 것입니다.","After they've paid off ICOF's creditors, they'll have added significant manufacturing capacity."
"우리는 중국은 물론 일본, 동남아 등 다양한 해외 레퍼런스를 확보하고 있어요.",We have secured various overseas references not only in China but also in Japan and Southeast Asia.
나는 이쁘고 야구를 좋아하는 여자친구를 가지길 원해.,I want a pretty girlfriend who loves to watch baseball.
뭐 때문에 화가 나는 건데요?,What makes you angry?
"이는 ""좋은 선생님이 되자""라는 저희의 의도를 효과적으로 보여줄 방법이었습니다.","This method was effective in that we were able to appeal our intend, ""let's be a qualified teacher.”"
아무리 작은 회사라도 데이터를 기반으로 상품을 만들거나 영업을 합니다.,"No matter how small a company is, it creates or sells products based on data."
"MF 후 해당 DR는 OFF가 발생하였고, 바로 다른 DR에서 MU 성공하여 작업이 성공하였습니다.","After the MF, the DR was turned off and MU was successful in the other DR."
그들은 그 호텔에서 머무르기를 기대했어요.,They expected to stay in that hotel.
그 영화는 재미가 있었습니까?,Did you enjoy the movie?
